trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
17,False,gru,11,False,128,3,0.1,32,40,11,0.0003,64,0.2,3,0.0,real,,0,0,30.0,inf,1.1294734168485607,inf,inf,inf,inf,inf,0.8722866235496066,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
18,False,gru,11,False,128,3,0.1,32,40,20,0.0003,64,0.2,12,0.0,real,,0,0,30.0,inf,0.5467570657665665,inf,inf,inf,inf,inf,0.7567190666508868,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
19,False,gru,11,False,128,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.1304216208281341,inf,inf,inf,inf,inf,0.8855362251952842,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
20,False,gru,11,False,128,3,0.1,32,40,11,0.0003,64,0.2,3,0.0,real,,0,0,30.0,inf,1.0385824934177317,inf,inf,inf,inf,inf,0.8551625339941976,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
21,False,gru,29,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.0876132837485506,inf,inf,inf,inf,inf,0.9291614940446568,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
22,False,gru,29,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.7451676852531262,inf,inf,inf,inf,inf,0.9067410194776891,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
23,False,gru,29,False,256,3,0.2,32,40,21,0.0003,64,0.2,13,0.0001,real,,0,0,30.0,inf,1.3187089452037104,inf,inf,inf,inf,inf,0.7431390316398055,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
24,False,gru,29,False,256,3,0.2,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.0662803593141037,inf,inf,inf,inf,inf,0.8132384986476996,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
25,False,gru,29,False,128,3,0.2,32,40,13,0.001,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.218353998534268,inf,inf,inf,inf,inf,0.8079843493231633,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
26,False,gru,29,False,128,3,0.2,32,40,15,0.001,64,0.2,7,0.0001,real,,0,0,30.0,inf,0.6396058228638795,inf,inf,inf,inf,inf,0.7439331839239695,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
