trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
17,False,lstm_attn,11,False,128,3,0.1,32,40,13,0.0003,64,0.2,5,0.0,real,,0,0,30.0,inf,1.1490102453486812,inf,inf,inf,inf,inf,0.8873202821707228,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
18,True,lstm_attn,11,False,128,3,0.1,32,40,19,0.0003,64,0.2,11,0.0,real,,0,0,30.0,inf,0.6538100387599017,inf,inf,inf,inf,inf,0.8224803430762717,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
19,False,lstm_attn,11,False,128,3,0.1,32,40,16,0.0003,64,0.2,8,0.0,real,,0,0,30.0,inf,1.4943616655137804,inf,inf,inf,inf,inf,0.8420800834231906,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
20,False,lstm_attn,11,False,128,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,1.0898288072253008,inf,inf,inf,inf,inf,0.9935163547987373,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
21,False,lstm_attn,29,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.1151988757508564,inf,inf,inf,inf,inf,0.9307224027420181,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
22,False,lstm_attn,29,False,256,3,0.2,32,40,13,0.0003,64,0.2,5,0.0001,real,,0,0,30.0,inf,0.8499289896037128,inf,inf,inf,inf,inf,0.8516872983153273,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
23,False,lstm_attn,29,False,256,3,0.2,32,40,14,0.0003,64,0.2,6,0.0001,real,,0,0,30.0,inf,1.3877141784738611,inf,inf,inf,inf,inf,0.8489643407751013,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
24,False,lstm_attn,29,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.0505308767669639,inf,inf,inf,inf,inf,0.8987433951435521,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
25,False,lstm_attn,29,False,128,3,0.2,32,40,9,0.001,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.1365962306509891,inf,inf,inf,inf,inf,0.9367753914305575,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
26,False,lstm_attn,29,False,128,3,0.2,32,40,18,0.001,64,0.2,10,0.0001,real,,0,0,30.0,inf,0.7167787645851169,inf,inf,inf,inf,inf,0.7109628677368164,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
27,False,lstm_attn,29,False,128,3,0.2,32,40,11,0.001,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.0929196189951014,inf,inf,inf,inf,inf,0.9054628139071994,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
28,False,lstm_attn,29,False,128,3,0.2,32,40,9,0.001,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.0241784628545874,inf,inf,inf,inf,inf,0.970142197358832,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
29,False,lstm_attn,29,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,1.1231874414251957,inf,inf,inf,inf,inf,0.9321648000388418,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
30,False,lstm_attn,29,False,256,3,0.1,32,40,13,0.0003,64,0.2,5,0.0,real,,0,0,30.0,inf,0.8480927396464992,inf,inf,inf,inf,inf,0.8466753022457526,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
31,False,lstm_attn,29,False,256,3,0.1,32,40,11,0.0003,64,0.2,3,0.0,real,,0,0,30.0,inf,1.1334743014088384,inf,inf,inf,inf,inf,0.9046023560453345,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
32,False,lstm_attn,29,False,256,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.0559284712574437,inf,inf,inf,inf,inf,0.8980195346229407,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
33,False,lstm_attn,29,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.0754538568198662,inf,inf,inf,inf,inf,0.9239849016363765,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
34,False,lstm_attn,29,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.6640315673372768,inf,inf,inf,inf,inf,0.9085245006937321,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
35,False,lstm_attn,29,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.1934998432795207,inf,inf,inf,inf,inf,0.9302763021433795,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
36,False,lstm_attn,29,False,256,2,0.1,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.1883797312853446,inf,inf,inf,inf,inf,0.8267939349329044,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
37,False,lstm_attn,29,False,128,3,0.1,32,40,12,0.0003,64,0.2,4,0.0,real,,0,0,30.0,inf,1.116398191742308,inf,inf,inf,inf,inf,0.9014028157179761,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
38,False,lstm_attn,29,False,128,3,0.1,32,40,16,0.0003,64,0.2,8,0.0,real,,0,0,30.0,inf,0.6665472082189612,inf,inf,inf,inf,inf,0.8298815550358315,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
39,False,lstm_attn,29,False,128,3,0.1,32,40,14,0.0003,64,0.2,6,0.0,real,,0,0,30.0,inf,1.2526392053674769,inf,inf,inf,inf,inf,0.8763388917181227,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
40,False,lstm_attn,29,False,128,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.0438214485755934,inf,inf,inf,inf,inf,0.9117615971570568,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
41,False,lstm_attn,47,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1369264014225369,inf,inf,inf,inf,inf,0.9144276424315764,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
42,False,lstm_attn,47,False,256,3,0.2,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,0.6909040553612752,inf,inf,inf,inf,inf,0.8607400319440578,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
43,False,lstm_attn,47,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1911950420450281,inf,inf,inf,inf,inf,0.9192927071783278,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
44,False,lstm_attn,47,False,256,3,0.2,32,40,11,0.0003,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.1639671074264692,inf,inf,inf,inf,inf,0.8852773734013593,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
